         501 ,         502 ,         502
         501 ,         503 ,         503
         501 ,         505 ,         503
         501 ,         507 ,         503
         500 ,         507 ,         503
         501 ,         507 ,         503
         502 ,         507 ,         503
         501 ,         507 ,         503
         502 ,         507 ,         503
         501 ,         507 ,         503
         502 ,         507 ,         503
         501 ,         507 ,         503
         502 ,         507 ,         503
         501 ,         507 ,         503
         502 ,         507 ,         503
         501 ,         507 ,         503
         500 ,         507 ,         503
         499 ,         507 ,         503
         498 ,         507 ,         503
         499 ,         507 ,         503
         500 ,         507 ,         503
         499 ,         507 ,         503
         500 ,         507 ,         503
         499 ,         507 ,         503
         498 ,         507 ,         503
         499 ,         507 ,         503
         498 ,         507 ,         503
         497 ,         507 ,         503
         498 ,         507 ,         503
         499 ,         507 ,         503
         500 ,         507 ,         503
         501 ,         507 ,         503
         502 ,         507 ,         503
         501 ,         507 ,         503
         500 ,         507 ,         503
         499 ,         507 ,         503
         500 ,         507 ,         503
         501 ,         507 ,         503
         502 ,         507 ,         503
         501 ,         507 ,         503
         502 ,         507 ,         503
         501 ,         507 ,         503
         502 ,         507 ,         503
         501 ,         507 ,         503
         500 ,         507 ,         503
         501 ,         507 ,         503
         500 ,         507 ,         503
         501 ,         507 ,         503
         502 ,         507 ,         503
         501 ,         507 ,         503
         500 ,         507 ,         503
         501 ,         507 ,         503
         500 ,         507 ,         503
         501 ,         507 ,         503
         500 ,         507 ,         503
         501 ,         507 ,         503
         500 ,         507 ,         503
         501 ,         507 ,         503
         500 ,         507 ,         503
         501 ,         507 ,         503
         502 ,         507 ,         503
         501 ,         507 ,         503
         502 ,         507 ,         503
         503 ,         507 ,         503
         502 ,         507 ,         503
         501 ,         507 ,         503
         500 ,         507 ,         503
         499 ,         507 ,         503
         500 ,         507 ,         503
         501 ,         507 ,         503
         500 ,         507 ,         503
         499 ,         507 ,         503
         498 ,         507 ,         503
         499 ,         507 ,         503
         500 ,         507 ,         503
         499 ,         507 ,         503
         500 ,         507 ,         503
         501 ,         507 ,         503
         502 ,         507 ,         503
         501 ,         507 ,         503
         502 ,         507 ,         503
         503 ,         507 ,         503
         504 ,         507 ,         503
         505 ,         507 ,         503
         506 ,         507 ,         503
         505 ,         507 ,         503
         504 ,         507 ,         503
         503 ,         507 ,         503
         502 ,         507 ,         503
         503 ,         507 ,         503
         504 ,         507 ,         503
         505 ,         507 ,         503
         506 ,         507 ,         503
         505 ,         507 ,         503
         506 ,         507 ,         503
         507 ,         507 ,         503
         508 ,         507 ,         503
         507 ,         507 ,         503
         506 ,         507 ,         503
         505 ,         507 ,         503
         504 ,         507 ,         503
         503 ,         507 ,         503
         502 ,         507 ,         503
         503 ,         507 ,         503
         502 ,         507 ,         503
         501 ,         507 ,         503
         500 ,         507 ,         503
         499 ,         507 ,         503
         498 ,         507 ,         503
         499 ,         507 ,         503
         498 ,         507 ,         503
         499 ,         507 ,         503
         500 ,         507 ,         503
         501 ,         507 ,         503
         502 ,         507 ,         503
         503 ,         507 ,         503
         504 ,         507 ,         503
         503 ,         507 ,         503
         502 ,         507 ,         503
         503 ,         507 ,         503
         504 ,         507 ,         503
         503 ,         507 ,         503
         504 ,         507 ,         503
         505 ,         507 ,         503
         504 ,         507 ,         503
         503 ,         507 ,         503
         504 ,         507 ,         503
         503 ,         507 ,         503
         502 ,         507 ,         503
         501 ,         507 ,         503
         502 ,         507 ,         503
         503 ,         507 ,         503
         502 ,         507 ,         503
         501 ,         507 ,         503
         500 ,         507 ,         503
         499 ,         507 ,         503
         498 ,         507 ,         503
         497 ,         507 ,         503
         496 ,         507 ,         503
         495 ,         507 ,         503
         496 ,         507 ,         503
         497 ,         507 ,         503
         498 ,         507 ,         503
         499 ,         507 ,         503
         498 ,         507 ,         503
         497 ,         507 ,         503
         496 ,         507 ,         503
         497 ,         507 ,         503
         498 ,         507 ,         503
         497 ,         507 ,         503
         498 ,         507 ,         503
         499 ,         507 ,         503
         500 ,         507 ,         503
         499 ,         507 ,         503
         500 ,         507 ,         503
         499 ,         507 ,         503
         500 ,         507 ,         503
         499 ,         507 ,         503
         500 ,         507 ,         503
         499 ,         507 ,         503
         498 ,         507 ,         503
         499 ,         507 ,         503
         500 ,         507 ,         503
         499 ,         507 ,         503
         498 ,         507 ,         503
         499 ,         507 ,         503
         500 ,         507 ,         503
         499 ,         507 ,         503
         500 ,         507 ,         503
         501 ,         507 ,         503
         502 ,         507 ,         503
         503 ,         507 ,         503
         504 ,         507 ,         503
         503 ,         507 ,         503
         502 ,         507 ,         503
         501 ,         507 ,         503
         500 ,         507 ,         503
         501 ,         507 ,         503
         500 ,         507 ,         503
         501 ,         507 ,         503
         502 ,         507 ,         503
         501 ,         507 ,         503
         502 ,         507 ,         503
