!Name, E_d(K), #Atoms, Charge
O2   , 912.0 , 2     , 0
O2+  , 912.0 , 2     , 1
O2-  , 912.0 , 2     ,-1
O    , 293.00, 1     , 0
O+   , 293.00, 1     , 1
O-   , 293.00, 1     ,-1
O3   , 1368.0, 3     , 0
O3+  , 1368.0, 3     , 1
O3-  , 1368.0, 3     ,-1
O2*  , 0.0   , 2     , 0
O*   , 0.0   , 1     , 0
O3*  , 0.0   , 3     , 0
e    , 0.0002, 0     ,-1
CRP  , 0.0002, 0     , 0
*    , 0.0002, 0     , 0
M    , 0.0002, 0     , 0
