          20 ,           1 ,           2 ,          19 ,           0 ,           0
          19 ,           1 ,           3 ,           0 ,           0 ,           0
           2 ,           3 ,           1 ,           1 ,           0 ,           0
          20 ,           1 ,           2 ,          19 ,           0 ,           0
          19 ,           1 ,           3 ,           0 ,           0 ,           0
           2 ,           3 ,           1 ,           1 ,           0 ,           0
          20 ,           1 ,           2 ,          19 ,           0 ,           0
          19 ,           1 ,           3 ,           0 ,           0 ,           0
           2 ,           3 ,           1 ,           1 ,           0 ,           0
          20 ,           1 ,           2 ,          19 ,           0 ,           0
          19 ,           1 ,           3 ,           0 ,           0 ,           0
           2 ,           3 ,           1 ,           1 ,           0 ,           0
          20 ,           1 ,           2 ,          19 ,           0 ,           0
          19 ,           1 ,           3 ,           0 ,           0 ,           0
           2 ,           3 ,           1 ,           1 ,           0 ,           0
          20 ,           1 ,           2 ,          19 ,           0 ,           0
          19 ,           1 ,           3 ,           0 ,           0 ,           0
           2 ,           3 ,           1 ,           1 ,           0 ,           0
          20 ,           1 ,           2 ,          19 ,           0 ,           0
          19 ,           1 ,           3 ,           0 ,           0 ,           0
           2 ,           3 ,           1 ,           1 ,           0 ,           0
          20 ,           1 ,           2 ,          19 ,           0 ,           0
          19 ,           1 ,           3 ,           0 ,           0 ,           0
           2 ,           3 ,           1 ,           1 ,           0 ,           0
          20 ,           1 ,           2 ,          19 ,           0 ,           0
          19 ,           1 ,           3 ,           0 ,           0 ,           0
           2 ,           3 ,           1 ,           1 ,           0 ,           0
          20 ,           1 ,           2 ,          19 ,           0 ,           0
          19 ,           1 ,           3 ,           0 ,           0 ,           0
           2 ,           3 ,           1 ,           1 ,           0 ,           0
          20 ,           1 ,           2 ,          19 ,           0 ,           0
          19 ,           1 ,           3 ,           0 ,           0 ,           0
           2 ,           3 ,           1 ,           1 ,           0 ,           0
          20 ,           1 ,           2 ,          19 ,           0 ,           0
          19 ,           1 ,           3 ,           0 ,           0 ,           0
           2 ,           3 ,           1 ,           1 ,           0 ,           0
          20 ,           1 ,           2 ,          19 ,           0 ,           0
          19 ,           1 ,           3 ,           0 ,           0 ,           0
           2 ,           3 ,           1 ,           1 ,           0 ,           0
          20 ,           1 ,           2 ,          19 ,           0 ,           0
          19 ,           1 ,           3 ,           0 ,           0 ,           0
           2 ,           3 ,           1 ,           1 ,           0 ,           0
          20 ,           1 ,           2 ,          19 ,           0 ,           0
          19 ,           1 ,           3 ,           0 ,           0 ,           0
           2 ,           3 ,           1 ,           1 ,           0 ,           0
          20 ,           1 ,           2 ,          19 ,           0 ,           0
          19 ,           1 ,           3 ,           0 ,           0 ,           0
           2 ,           3 ,           1 ,           1 ,           0 ,           0
          20 ,           1 ,           2 ,          19 ,           0 ,           0
          19 ,           1 ,           3 ,           0 ,           0 ,           0
           2 ,           3 ,           1 ,           1 ,           0 ,           0
          20 ,           1 ,           2 ,          19 ,           0 ,           0
          19 ,           1 ,           3 ,           0 ,           0 ,           0
           2 ,           3 ,           1 ,           1 ,           0 ,           0
          20 ,           1 ,           2 ,          19 ,           0 ,           0
          19 ,           1 ,           3 ,           0 ,           0 ,           0
           2 ,           3 ,           1 ,           1 ,           0 ,           0
