! RTYPE definitions:
! 1 -> unimolecular reaction
! 2 -> bimolecular neutral-neutral reaction
! 3 -> termolecular neutral-neutral-neutral reaction
! 4 -> Dissociative recombination
! 5 -> Ionization by energetic ion
! 6 -> Ion-Ion charge recombination
! 7 -> Neutral-electron anion formation
! 8 -> Excitation by an energetic ion
!R1   R2    P1    P2   P3  \alpha      \beta        \gamma    , RTYPE, SOURCE
O2* , O3* , O2  , O2 , O , 1.0000E+00, +0.0000E+00, 0.0000E+00, 2, Shingledecker&Herbst2017
O3* , O3* , O3  , O3 , 0 , 1.0000E+00, +0.0000E+00, 0.0000E+00, 2, Shingledecker&Herbst2017
O3* , O   , O2  , O2 , 0 , 1.0000E+00, +0.0000E+00, 0.0000E+00, 2, Shingledecker&Herbst2017
O3* , O2  , O2  , O2 , O , 1.0000E+00, +0.0000E+00, 0.0000E+00, 2, Shingledecker&Herbst2017
O3* , O3  , O3  , O3 , 0, 1.0000E+00, +0.0000E+00, 0.0000E+00, 2, Shingledecker&Herbst2017
O2+ , O2- , O2* , O2 , 0 , 1.0000E+00, +0.0000E+00, 0.0000E+00, 6, Anderson1968
!O2+ , O2- , O2* , O* , O*, 1.0000E+00, +0.0000E+00, 0.0000E+00, 6, Anderson1968
O2+ , O-  , O*  , O2 , 0 , 1.0000E+00, +0.0000E+00, 0.0000E+00, 6, Anderson1968
O2+ , O-  , O3* , 0  , 0 , 1.0000E+00, +0.0000E+00, 0.0000E+00, 6, Anderson1968
O2- , O+  , O*  , O2 , 0 , 1.0000E+00, +0.0000E+00, 0.0000E+00, 6, Anderson1968
O2- , O+  , O3* , 0  , 0 , 1.0000E+00, +0.0000E+00, 0.0000E+00, 6, Anderson1968
O+  , O-  , O2* , 0  , 0 , 1.0000E+00, +0.0000E+00, 0.0000E+00, 6, Shingledecker&Herbst2017
!O+  , O-  , O*  , O* , 0 , 1.0000E+00, +0.0000E+00, 0.0000E+00, 6, Shingledecker&Herbst2017
O+  , O3- , O2* , O2 , 0 , 1.0000E+00, +0.0000E+00, 0.0000E+00, 6, Shingledecker&Herbst2017
O+  , O3- , O3  , O* , 0 , 1.0000E+00, +0.0000E+00, 0.0000E+00, 6, Shingledecker&Herbst2017
O-  , O3+ , O2* , O2 , 0 , 1.0000E+00, +0.0000E+00, 0.0000E+00, 6, Shingledecker&Herbst2017
O-  , O3+ , O3  , O* , 0 , 1.0000E+00, +0.0000E+00, 0.0000E+00, 6, Shingledecker&Herbst2017
O3+ , O3- , O2  , O2 , O2, 1.0000E+00, +0.0000E+00, 0.0000E+00, 6, Shingledecker&Herbst2017
O3+ , O3- , O3  , O3*, 0 , 1.0000E+00, +0.0000E+00, 0.0000E+00, 6, Shingledecker&Herbst2017
O2- , O3+ , O2  , O2 , O , 1.0000E+00, +0.0000E+00, 0.0000E+00, 6, Shingledecker&Herbst2017
O2- , O3+ , O3  , O2*, 0 , 1.0000E+00, +0.0000E+00, 0.0000E+00, 6, Shingledecker&Herbst2017
O2+ , O3- , O2  , O2 , O , 1.0000E+00, +0.0000E+00, 0.0000E+00, 6, Shingledecker&Herbst2017
O2+ , O3- , O3  , O2*, O , 1.0000E+00, +0.0000E+00, 0.0000E+00, 6, Shingledecker&Herbst2017
O*  , M   , O   , 0  , 0 , 1.0000E+00, +0.0000E+00, 0.0000E+00, 9, Shingledecker&Herbst2017
O2* , M   , O2  , 0  , 0 , 1.0000E+00, +0.0000E+00, 0.0000E+00, 9, Shingledecker&Herbst2017
O3* , M   , O3  , 0  , 0 , 1.0000E+00, +0.0000E+00, 0.0000E+00, 9, Shingledecker&Herbst2017
